contrast,follow_up_month,estimate,SE,df,lower.CL,upper.CL,t.ratio,p.value
strategy_a1 - strategy_a0,1,0.010209009838826222,0.01282261623662687,5105,-0.014928816175349417,0.03534683585300186,0.7961721422859813,0.4259690081181434
strategy_a1 - strategy_a0,6,0.03094501536379446,0.029049039525533723,5105,-0.026003558000347093,0.08789358872793601,1.0652681076286257,0.2868050008290358
strategy_a1 - strategy_a0,12,0.05454711694069958,0.032457283004673786,5105,-0.009083075058166828,0.11817730893956599,1.6805817336233875,0.09290536443220587
